"name","link","image_path","category"
"OOSC Jacksonville jaguars OOSC NFL ski neckwarmer in multi","https://www.asos.com/oosc/oosc-jacksonville-jaguars-oosc-nfl-ski-neckwarmer-in-multi/prd/207567684#colourWayId-207567685","https://images.asos-media.com/products/oosc-jacksonville-jaguars-oosc-nfl-ski-neckwarmer-in-multi/207567684-1-multi","Others"
"COLLUSION red football top with Monaco print","https://www.asos.com/collusion/collusion-red-football-top-with-monaco-print/prd/207656777#colourWayId-207656778","https://images.asos-media.com/products/collusion-red-football-top-with-monaco-print/207656777-1-red","Top"
"Reclaimed Vintage jogger co-ord in khaki","https://www.asos.com/reclaimed-vintage/reclaimed-vintage-co-ord-in-khaki/grp/207893634#colourWayId-207693004&productId-207693003","https://images.asos-media.com/products/reclaimed-vintage-jogger-co-ord-in-khaki/207693003-1-khaki","Others"
"Reclaimed Vintage hoodie co-ord in khaki","https://www.asos.com/reclaimed-vintage/reclaimed-vintage-co-ord-in-khaki/grp/207893634#colourWayId-207706310&productId-207706309","https://images.asos-media.com/products/reclaimed-vintage-hoodie-co-ord-in-khaki/207706309-1-khaki","Top"
"ASOS DESIGN overszied dropped shoulder cropped sweatshirt in with split hem in brown","https://www.asos.com/asos-design/asos-design-overszied-dropped-shoulder-cropped-sweatshirt-in-with-split-hem-in-brown/prd/207769964#colourWayId-207769965","https://images.asos-media.com/products/asos-design-overszied-dropped-shoulder-cropped-sweatshirt-in-with-split-hem-in-brown/207769964-1-brown","Top"
"ASOS DESIGN super oversized boxy fit boucle knitted v neck jumper in grey","https://www.asos.com/asos-design/asos-design-super-oversized-boxy-fit-boucle-knitted-v-neck-jumper-in-grey/prd/207788522#colourWayId-207788523","https://images.asos-media.com/products/asos-design-super-oversized-boxy-fit-boucle-knitted-v-neck-jumper-in-grey/207788522-1-grey","Top"
"ASOS DEISGN super oversized boxy fit knitted texture crew neck jumper in ecru","https://www.asos.com/asos-design/asos-deisgn-super-oversized-boxy-fit-knitted-texture-crew-neck-jumper-in-ecru/prd/207788533#colourWayId-207788535","https://images.asos-media.com/products/asos-deisgn-super-oversized-boxy-fit-knitted-texture-crew-neck-jumper-in-ecru/207788533-1-ecru","Top"
"Reclaimed Vintage polo jumper in argyle print","https://www.asos.com/reclaimed-vintage/reclaimed-vintage-polo-jumper-in-argyle-print/prd/207798108#colourWayId-207798109","https://images.asos-media.com/products/reclaimed-vintage-polo-jumper-in-argyle-print/207798108-1-multi","Top"
"ASOS DESIGN oversized shirt in green stripe","https://www.asos.com/asos-design/asos-design-oversized-shirt-in-green-stripe/prd/207842685#colourWayId-207842687","https://images.asos-media.com/products/asos-design-oversized-shirt-in-green-stripe/207842685-1-green","Top"
"ASOS DESIGN boxy oversized long sleeve polo with dropped shoulder and sports graphics in cream","https://www.asos.com/asos-design/asos-design-boxy-oversized-long-sleeve-polo-with-dropped-shoulder-and-sports-graphics-in-cream/prd/207857408#colourWayId-207857409","https://images.asos-media.com/products/asos-design-boxy-oversized-long-sleeve-polo-with-dropped-shoulder-and-sports-graphics-in-cream/207857408-1-coconutmilk","Others"
"Reclaimed Vintage unisex oversized boxy cropped hoodie in charcoal","https://www.asos.com/reclaimed-vintage/reclaimed-vintage-unisex-oversized-sweat-co-ord-in-charcoal/grp/207876321#colourWayId-206862125&productId-206862123","https://images.asos-media.com/products/reclaimed-vintage-unisex-oversized-boxy-cropped-hoodie-in-charcoal/206862123-1-charcoal","Top"
"ASOS DESIGN chelsea boots in brown leather","https://www.asos.com/asos-design/asos-design-chelsea-boots-in-brown-leather/prd/206889003#colourWayId-206889005","https://images.asos-media.com/products/asos-design-chelsea-boots-in-brown-leather/206889003-1-brown","Shoes"
"Hollister slim straight leg jean in grey","https://www.asos.com/hollister/hollister-slim-straight-leg-jean-in-grey/prd/207356071#colourWayId-207356093","https://images.asos-media.com/products/hollister-slim-straight-leg-jean-in-grey/207356071-1-grey","Others"
"New Era NY Yankees quilted camera bag in black","https://www.asos.com/new-era/new-era-ny-yankees-quilted-camera-bag-in-black/prd/207215721#colourWayId-207215724","https://images.asos-media.com/products/new-era-ny-yankees-quilted-camera-bag-in-black/207215721-1-black","Accessories"
"New Era faux fur ear muffs in cream","https://www.asos.com/new-era/new-era-faux-fur-ear-muffs-in-cream/prd/207215729#colourWayId-207215732","https://images.asos-media.com/products/new-era-faux-fur-ear-muffs-in-cream/207215729-1-cream","Others"
"New Era NY Yankees cord waist bag in cream","https://www.asos.com/new-era/new-era-ny-yankees-cord-waist-bag-in-cream/prd/207215580#colourWayId-207215594","https://images.asos-media.com/products/new-era-ny-yankees-cord-waist-bag-in-cream/207215580-1-cream","Accessories"
"New Era NY Yankees cuff tonal beanie in black","https://www.asos.com/new-era/new-era-ny-yankees-cuff-tonal-beanie-in-black/prd/207215598#colourWayId-207215613","https://images.asos-media.com/products/new-era-ny-yankees-cuff-tonal-beanie-in-black/207215598-1-black","Accessories"
"ASOS DESIGN lace up chukka boots in burgundy polido leather","https://www.asos.com/asos-design/asos-design-lace-up-chukka-boots-in-burgundy-polido-leather/prd/206983314#colourWayId-206983315","https://images.asos-media.com/products/asos-design-lace-up-chukka-boots-in-burgundy-polido-leather/206983314-1-burgundy","Shoes"
"ASOS DESIGN Premium heavyweight oversized boxy long sleeve t-shirt 300gsm in dark brown","https://www.asos.com/asos-design/asos-design-premium-heavyweight-oversized-boxy-long-sleeve-t-shirt-300gsm-in-dark-brown/prd/207150359#colourWayId-207150361","https://images.asos-media.com/products/asos-design-premium-heavyweight-oversized-boxy-long-sleeve-t-shirt-300gsm-in-dark-brown/207150359-1-decadentchocolate","Top"
"ASOS DESIGN essential 2 pack oversized t-shirt in white","https://www.asos.com/asos-design/asos-design-essential-2-pack-oversized-t-shirt-in-white/prd/207228365#colourWayId-207228366","https://images.asos-media.com/products/asos-design-essential-2-pack-oversized-t-shirt-in-white/207228365-1-white","Top"
"ASOS DESIGN heavyweight extreme oversized scuba sweatshirt brown","https://www.asos.com/asos-design/asos-design-heavyweight-extreme-oversized-scuba-sweatshirt-brown/prd/207446667#colourWayId-207446668","https://images.asos-media.com/products/asos-design-heavyweight-extreme-oversized-scuba-sweatshirt-brown/207446667-1-chocolatetorte","Top"
